scenario,model_key,n,p,s2,repeat,seed,config_id,varied_parameter,m,alpha,beta,k,precision_raw_local,recall_raw_local,f1_raw_local,r_miss_raw_local,n_selected_raw_local,precision_raw_global_max,recall_raw_global_max,f1_raw_global_max,r_miss_raw_global_max,n_selected_raw_global_max,precision_raw_global_se,recall_raw_global_se,f1_raw_global_se,r_miss_raw_global_se,n_selected_raw_global_se,precision_logml_local,recall_logml_local,f1_logml_local,r_miss_logml_local,n_selected_logml_local,precision_logml_global_max,recall_logml_global_max,f1_logml_global_max,r_miss_logml_global_max,n_selected_logml_global_max,precision_logml_global_se,recall_logml_global_se,f1_logml_global_se,r_miss_logml_global_se,n_selected_logml_global_se,true_variables,selected_raw_local,selected_raw_global_max,selected_raw_global_se,selected_logml_local,selected_logml_global_max,selected_logml_global_se,status,error
bm1,binary,1000,50,1.0,1,2062861864,beta_low,beta,20,0.95,1.0,2.0,0.16666666666666666,0.2,0.1818181818181818,1.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.20000000000000004,1.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,"[0, 1, 25, 26, 27]","[1, 2, 18, 30, 38, 47]",[],[],"[1, 9, 12, 23, 30]",[],[],complete,
bm1,binary,1000,50,1.0,1,2062861864,beta_high,beta,20,0.95,3.0,2.0,0.25,0.2,0.22222222222222224,1.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.2,0.33333333333333337,1.0,1.0,0.5,0.4,0.4444444444444445,1.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,"[0, 1, 25, 26, 27]","[18, 21, 25, 46]",[],[25],"[0, 17, 20, 25]",[],[],complete,
bm1,binary,1000,50,1.0,1,2062861864,k_low,k,20,0.95,2.0,1.0,0.5,0.4,0.4444444444444445,1.0,4.0,0.0,0.0,0.0,1.0,0.0,0.3333333333333333,0.2,0.25,1.0,3.0,0.2,0.2,0.20000000000000004,1.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,0.2,0.33333333333333337,1.0,1.0,"[0, 1, 25, 26, 27]","[0, 8, 16, 25]",[],"[0, 8, 16]","[2, 8, 16, 25, 34]",[],[25],complete,
bm1,binary,1000,50,1.0,1,2062861864,k_high,k,20,0.95,2.0,3.0,0.2857142857142857,0.4,0.3333333333333333,1.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,"[0, 1, 25, 26, 27]","[0, 1, 14, 17, 24, 28, 44]",[],"[14, 28, 44]","[3, 9, 23, 28, 44]",[],"[3, 44]",complete,
bm1,binary,1000,50,1.0,2,569995273,reference,reference,20,0.95,2.0,2.0,0.4,0.4,0.4000000000000001,1.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.25,0.2,0.22222222222222224,1.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,"[0, 1, 25, 26, 27]","[1, 13, 25, 30, 44]",[],"[13, 30]","[13, 23, 26, 48]",[],[],complete,
bm1,binary,1000,50,1.0,2,569995273,m_low,m,10,0.95,2.0,2.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,"[0, 1, 25, 26, 27]","[10, 17, 20, 32, 47]",[],"[10, 20]","[5, 10, 20, 34, 40, 47]",[],"[10, 20]",complete,
bm1,binary,1000,50,1.0,2,569995273,m_high,m,50,0.95,2.0,2.0,0.25,0.2,0.22222222222222224,1.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,"[0, 1, 25, 26, 27]","[4, 7, 26, 44]",[],[],"[7, 34, 48]",[],"[7, 48]",complete,
bm1,binary,1000,50,1.0,2,569995273,beta_low,beta,20,0.95,1.0,2.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.4,0.4444444444444445,1.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,"[0, 1, 25, 26, 27]","[7, 19, 21, 42, 44]",[],[7],"[1, 3, 19, 27]",[],[],complete,
bm1,binary,1000,50,1.0,2,569995273,beta_high,beta,20,0.95,3.0,2.0,0.2,0.2,0.20000000000000004,1.0,5.0,0.0,0.0,0.0,1.0,0.0,0.3333333333333333,0.2,0.25,1.0,3.0,0.14285714285714285,0.2,0.16666666666666666,1.0,7.0,0.0,0.0,0.0,1.0,0.0,0.5,0.2,0.28571428571428575,1.0,2.0,"[0, 1, 25, 26, 27]","[11, 19, 24, 25, 42]",[],"[11, 25, 42]","[3, 24, 25, 30, 37, 42, 44]",[],"[25, 42]",complete,
bm1,binary,1000,50,1.0,2,569995273,k_low,k,20,0.95,2.0,1.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.16666666666666666,0.2,0.1818181818181818,1.0,6.0,0.0,0.0,0.0,1.0,0.0,0.3333333333333333,0.2,0.25,1.0,3.0,"[0, 1, 25, 26, 27]","[2, 6, 16, 18, 19, 23, 32, 33, 48]",[],"[2, 6, 19]","[2, 4, 6, 23, 25, 48]",[],"[2, 25, 48]",complete,
bm1,binary,1000,50,1.0,2,569995273,k_high,k,20,0.95,2.0,3.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.25,0.4,0.3076923076923077,1.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,"[0, 1, 25, 26, 27]","[5, 6, 8, 11, 24, 32, 33]",[],[6],"[0, 9, 10, 20, 24, 27, 32, 33]",[],[10],complete,
bm1,binary,1000,50,1.0,3,329472203,reference,reference,20,0.95,2.0,2.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.2,0.2,0.20000000000000004,1.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,"[0, 1, 25, 26, 27]","[12, 14, 20, 22, 30, 35, 40, 41, 44, 46]",[],"[12, 30, 41]","[10, 19, 23, 25, 41]",[],[41],complete,
bm1,binary,1000,50,1.0,3,329472203,m_low,m,10,0.95,2.0,2.0,0.16666666666666666,0.2,0.1818181818181818,1.0,6.0,0.0,0.0,0.0,1.0,0.0,1.0,0.2,0.33333333333333337,1.0,1.0,0.5,0.6,0.5454545454545454,1.0,6.0,0.0,0.0,0.0,1.0,0.0,0.3333333333333333,0.2,0.25,1.0,3.0,"[0, 1, 25, 26, 27]","[14, 15, 18, 20, 25, 42]",[],[25],"[1, 18, 25, 26, 43, 46]",[],"[18, 25, 43]",complete,
bm1,binary,1000,50,1.0,3,329472203,m_high,m,50,0.95,2.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.16666666666666666,0.2,0.1818181818181818,1.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,"[0, 1, 25, 26, 27]","[16, 28]",[],[],"[2, 26, 30, 34, 42, 45]",[],[45],complete,
bm1,binary,1000,50,1.0,3,329472203,beta_low,beta,20,0.95,1.0,2.0,0.16666666666666666,0.2,0.1818181818181818,1.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.125,0.2,0.15384615384615385,1.0,8.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,"[0, 1, 25, 26, 27]","[18, 24, 27, 33, 40, 45]",[],[18],"[0, 6, 17, 18, 24, 34, 35, 45]",[17],"[17, 18, 35, 45]",complete,
bm1,binary,1000,50,1.0,3,329472203,beta_high,beta,20,0.95,3.0,2.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,"[0, 1, 25, 26, 27]","[5, 13, 15, 23, 30, 36, 39, 42, 49]",[],"[5, 15, 30]","[5, 23, 30, 36]",[],"[5, 30]",complete,
bm1,binary,1000,50,1.0,3,329472203,k_low,k,20,0.95,2.0,1.0,0.2,0.2,0.20000000000000004,1.0,5.0,0.0,0.0,0.0,1.0,0.0,0.5,0.2,0.28571428571428575,1.0,2.0,0.125,0.2,0.15384615384615385,1.0,8.0,0.0,0.0,0.0,1.0,0.0,0.25,0.2,0.22222222222222224,1.0,4.0,"[0, 1, 25, 26, 27]","[11, 15, 22, 25, 43]",[],"[11, 25]","[10, 11, 16, 17, 25, 28, 31, 48]",[],"[11, 25, 31, 48]",complete,
bm1,binary,1000,50,1.0,3,329472203,k_high,k,20,0.95,2.0,3.0,0.1111111111111111,0.2,0.14285714285714285,1.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.14285714285714285,0.2,0.16666666666666666,1.0,7.0,0.0,0.0,0.0,1.0,0.0,0.5,0.2,0.28571428571428575,1.0,2.0,"[0, 1, 25, 26, 27]","[1, 7, 10, 12, 16, 21, 33, 43, 46]",[],"[16, 43]","[1, 16, 18, 21, 39, 43, 47]",[],"[1, 43]",complete,
bm1,binary,1000,50,1.0,4,238533767,reference,reference,20,0.95,2.0,2.0,0.14285714285714285,0.2,0.16666666666666666,1.0,7.0,0.0,0.0,0.0,1.0,0.0,0.25,0.2,0.22222222222222224,1.0,4.0,0.3333333333333333,0.4,0.3636363636363636,1.0,6.0,0.0,0.0,0.0,1.0,0.0,0.25,0.2,0.22222222222222224,1.0,4.0,"[0, 1, 25, 26, 27]","[4, 17, 18, 25, 28, 32, 46]",[],"[18, 25, 28, 32]","[7, 12, 25, 26, 28, 46]",[],"[7, 12, 25, 46]",complete,
bm1,binary,1000,50,1.0,4,238533767,m_low,m,10,0.95,2.0,2.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,"[0, 1, 25, 26, 27]","[2, 5, 9, 13, 17, 24, 37]",[],[9],"[9, 10, 17, 29, 37, 46]",[],[9],complete,
bm1,binary,1000,50,1.0,4,238533767,m_high,m,50,0.95,2.0,2.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.4,0.4,0.4000000000000001,1.0,5.0,0.0,0.0,0.0,1.0,0.0,0.5,0.2,0.28571428571428575,1.0,2.0,"[0, 1, 25, 26, 27]","[4, 11, 13, 14, 32, 36, 40]",[],"[13, 14]","[0, 23, 26, 30, 46]",[],"[26, 46]",complete,
bm1,binary,1000,50,1.0,4,238533767,beta_low,beta,20,0.95,1.0,2.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.25,0.2,0.22222222222222224,1.0,4.0,0.0,0.0,0.0,1.0,0.0,0.25,0.2,0.22222222222222224,1.0,4.0,"[0, 1, 25, 26, 27]","[5, 6, 17, 19, 20, 35]",[],"[20, 35]","[1, 23, 35, 37]",[],"[1, 23, 35, 37]",complete,
bm1,binary,1000,50,1.0,4,238533767,beta_high,beta,20,0.95,3.0,2.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.14285714285714285,0.2,0.16666666666666666,1.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,"[0, 1, 25, 26, 27]","[4, 19, 20, 34, 48]",[],"[4, 19, 48]","[1, 3, 6, 20, 35, 39, 46]",[],[],complete,
bm1,binary,1000,50,1.0,4,238533767,k_low,k,20,0.95,2.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.5,0.4,0.4444444444444445,1.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,"[0, 1, 25, 26, 27]","[10, 20, 21, 30, 39]",[],"[10, 20, 21]","[0, 1, 44, 46]",[],[46],complete,
bm1,binary,1000,50,1.0,4,238533767,k_high,k,20,0.95,2.0,3.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.42857142857142855,0.6,0.5,1.0,7.0,0.0,0.0,0.0,1.0,0.0,0.25,0.2,0.22222222222222224,1.0,4.0,"[0, 1, 25, 26, 27]","[5, 6, 7, 13, 14, 31, 40, 41]",[5],"[5, 13]","[0, 1, 5, 7, 26, 31, 34]",[],"[5, 7, 26, 34]",complete,
bm1,binary,1000,50,1.0,5,4084929724,reference,reference,20,0.95,2.0,2.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.16666666666666666,0.2,0.1818181818181818,1.0,6.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,"[0, 1, 25, 26, 27]","[2, 15, 22, 29, 32, 45]",[],"[2, 22, 29]","[1, 9, 12, 19, 29, 43]",[29],[29],complete,
bm1,binary,1000,50,1.0,5,4084929724,m_low,m,10,0.95,2.0,2.0,0.2,0.2,0.20000000000000004,1.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.20000000000000004,1.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,0.2,0.33333333333333337,1.0,1.0,"[0, 1, 25, 26, 27]","[2, 7, 22, 25, 41]",[],[],"[2, 9, 25, 41, 48]",[],[25],complete,
