scenario,model_key,n,p,s2,repeat,seed,config_id,varied_parameter,m,alpha,beta,k,precision_raw_local,recall_raw_local,f1_raw_local,r_miss_raw_local,n_selected_raw_local,precision_raw_global_max,recall_raw_global_max,f1_raw_global_max,r_miss_raw_global_max,n_selected_raw_global_max,precision_raw_global_se,recall_raw_global_se,f1_raw_global_se,r_miss_raw_global_se,n_selected_raw_global_se,precision_logml_local,recall_logml_local,f1_logml_local,r_miss_logml_local,n_selected_logml_local,precision_logml_global_max,recall_logml_global_max,f1_logml_global_max,r_miss_logml_global_max,n_selected_logml_global_max,precision_logml_global_se,recall_logml_global_se,f1_logml_global_se,r_miss_logml_global_se,n_selected_logml_global_se,true_variables,selected_raw_local,selected_raw_global_max,selected_raw_global_se,selected_logml_local,selected_logml_global_max,selected_logml_global_se,status,error
cm2,continuous,500,50,10.0,1,2178576497,beta_low,beta,20,0.95,1.0,2.0,0.4,0.3333333333333333,0.3636363636363636,1.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,0.16666666666666666,0.2857142857142857,1.0,1.0,0.42857142857142855,0.5,0.4615384615384615,1.0,7.0,1.0,0.3333333333333333,0.5,1.0,2.0,0.75,0.5,0.6,1.0,4.0,"[0, 20, 40, 41, 42, 43]","[38, 42, 43, 76, 80]",[],[42],"[3, 20, 38, 42, 43, 68, 70]","[42, 43]","[20, 42, 43, 70]",complete,
cm2,continuous,500,50,10.0,1,2178576497,beta_high,beta,20,0.95,3.0,2.0,0.2,0.3333333333333333,0.25,1.0,10.0,0.0,0.0,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.4444444444444444,1.0,3.0,0.3333333333333333,0.5,0.4,1.0,9.0,1.0,0.3333333333333333,0.5,1.0,2.0,0.5,0.5,0.5,1.0,6.0,"[0, 20, 40, 41, 42, 43]","[10, 21, 28, 31, 42, 43, 68, 70, 76, 79]",[],"[28, 42, 43]","[3, 8, 20, 28, 30, 42, 43, 68, 76]","[42, 43]","[3, 20, 30, 42, 43, 68]",complete,
cm2,continuous,500,50,10.0,1,2178576497,k_low,k,20,0.95,2.0,1.0,0.4,0.6666666666666666,0.5,1.0,10.0,0.0,0.0,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.4444444444444444,1.0,3.0,0.3333333333333333,0.5,0.4,1.0,9.0,1.0,0.3333333333333333,0.5,1.0,2.0,0.6,0.5,0.5454545454545454,1.0,5.0,"[0, 20, 40, 41, 42, 43]","[3, 13, 25, 27, 33, 40, 41, 42, 43, 76]",[],"[25, 42, 43]","[3, 20, 30, 42, 43, 52, 54, 68, 76]","[42, 43]","[3, 20, 30, 42, 43]",complete,
cm2,continuous,500,50,10.0,1,2178576497,k_high,k,20,0.95,2.0,3.0,0.2222222222222222,0.3333333333333333,0.26666666666666666,1.0,9.0,0.0,0.0,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.4444444444444444,1.0,3.0,0.42857142857142855,0.5,0.4615384615384615,1.0,7.0,1.0,0.3333333333333333,0.5,1.0,2.0,0.6,0.5,0.5454545454545454,1.0,5.0,"[0, 20, 40, 41, 42, 43]","[6, 7, 11, 42, 43, 54, 68, 70, 80]",[],"[42, 43, 68]","[3, 20, 42, 43, 54, 68, 76]","[42, 43]","[3, 20, 42, 43, 68]",complete,
cm2,continuous,500,50,10.0,2,1032191484,reference,reference,20,0.95,2.0,2.0,0.3333333333333333,0.5,0.4,1.0,9.0,0.0,0.0,0.0,1.0,0.0,0.5,0.16666666666666666,0.25,1.0,2.0,0.5714285714285714,0.6666666666666666,0.6153846153846153,1.0,7.0,1.0,0.3333333333333333,0.5,1.0,2.0,0.6,0.5,0.5454545454545454,1.0,5.0,"[0, 20, 40, 41, 42, 43]","[7, 17, 41, 42, 43, 47, 55, 59, 67]",[],"[42, 59]","[0, 12, 41, 42, 43, 47, 67]","[0, 42]","[0, 12, 42, 43, 47]",complete,
cm2,continuous,500,50,10.0,2,1032191484,m_low,m,10,0.95,2.0,2.0,0.25,0.5,0.3333333333333333,1.0,12.0,0.0,0.0,0.0,1.0,0.0,0.3333333333333333,0.16666666666666666,0.2222222222222222,1.0,3.0,0.375,0.5,0.42857142857142855,1.0,8.0,1.0,0.16666666666666666,0.2857142857142857,1.0,1.0,0.6,0.5,0.5454545454545454,1.0,5.0,"[0, 20, 40, 41, 42, 43]","[38, 40, 42, 43, 47, 61, 64, 67, 70, 74, 78, 82]",[],"[42, 78, 82]","[0, 12, 38, 42, 43, 46, 67, 70]",[42],"[0, 12, 38, 42, 43]",complete,
cm2,continuous,500,50,10.0,2,1032191484,m_high,m,50,0.95,2.0,2.0,0.3333333333333333,0.6666666666666666,0.4444444444444444,1.0,12.0,1.0,0.16666666666666666,0.2857142857142857,1.0,1.0,0.5,0.5,0.5,1.0,6.0,0.5,0.6666666666666666,0.5714285714285715,1.0,8.0,1.0,0.3333333333333333,0.5,1.0,2.0,0.6,0.5,0.5454545454545454,1.0,5.0,"[0, 20, 40, 41, 42, 43]","[6, 23, 25, 33, 40, 41, 42, 43, 53, 65, 69, 70]",[42],"[6, 25, 41, 42, 43, 69]","[0, 6, 12, 41, 42, 43, 67, 69]","[0, 42]","[0, 12, 42, 43, 69]",complete,
cm2,continuous,500,50,10.0,2,1032191484,beta_low,beta,20,0.95,1.0,2.0,0.14285714285714285,0.16666666666666666,0.15384615384615383,1.0,7.0,1.0,0.16666666666666666,0.2857142857142857,1.0,1.0,0.5,0.16666666666666666,0.25,1.0,2.0,0.6666666666666666,0.3333333333333333,0.4444444444444444,1.0,3.0,1.0,0.3333333333333333,0.5,1.0,2.0,0.6666666666666666,0.3333333333333333,0.4444444444444444,1.0,3.0,"[0, 20, 40, 41, 42, 43]","[2, 5, 14, 31, 42, 53, 69]",[42],"[42, 53]","[0, 12, 42]","[0, 42]","[0, 12, 42]",complete,
cm2,continuous,500,50,10.0,2,1032191484,beta_high,beta,20,0.95,3.0,2.0,0.21428571428571427,0.5,0.3,1.0,14.0,0.0,0.0,0.0,1.0,0.0,0.25,0.16666666666666666,0.2,1.0,4.0,0.5,0.6666666666666666,0.5714285714285715,1.0,8.0,1.0,0.16666666666666666,0.2857142857142857,1.0,1.0,0.5,0.3333333333333333,0.4,1.0,4.0,"[0, 20, 40, 41, 42, 43]","[2, 21, 24, 35, 37, 40, 42, 43, 48, 54, 55, 65, 67, 69]",[],"[35, 42, 54, 67]","[0, 6, 12, 41, 42, 43, 53, 67]",[42],"[12, 41, 42, 67]",complete,
cm2,continuous,500,50,10.0,2,1032191484,k_low,k,20,0.95,2.0,1.0,0.23076923076923078,0.5,0.3157894736842105,1.0,13.0,0.0,0.0,0.0,1.0,0.0,0.6,0.5,0.5454545454545454,1.0,5.0,0.4444444444444444,0.6666666666666666,0.5333333333333333,1.0,9.0,1.0,0.16666666666666666,0.2857142857142857,1.0,1.0,0.6,0.5,0.5454545454545454,1.0,5.0,"[0, 20, 40, 41, 42, 43]","[11, 17, 34, 39, 41, 42, 43, 47, 57, 61, 65, 66, 67]",[],"[34, 41, 42, 43, 67]","[0, 6, 12, 18, 39, 41, 42, 43, 67]",[42],"[0, 6, 42, 43, 67]",complete,
