scenario,model_key,n,p,s2,repeats_requested,repeats_successful,precision_raw_mean,precision_raw_std,precision_raw_se,recall_raw_mean,recall_raw_std,recall_raw_se,f1_raw_mean,f1_raw_std,f1_raw_se,precision_logl_mean,precision_logl_std,precision_logl_se,recall_logl_mean,recall_logl_std,recall_logl_se,f1_logl_mean,f1_logl_std,f1_logl_se,status,error
cm1,continuous,500,50,1.0,10,10,0.93,0.11352924243950933,0.03590109871423002,0.5800000000000001,0.11352924243950933,0.03590109871423002,0.7026190476190475,0.08007971903582477,0.025323430653954915,1.0,0.0,0.0,0.78,0.11352924243950935,0.03590109871423003,0.8722222222222223,0.0731422876227093,0.023129622216290377,complete,
cm1,continuous,500,50,10.0,10,10,0.8916666666666666,0.18446619684315546,0.05833333333333333,0.4600000000000001,0.09660917830792956,0.030550504633038923,0.5968253968253967,0.09867051057182466,0.0312023551298689,1.0,0.0,0.0,0.78,0.0632455532033676,0.02,0.8750000000000002,0.043920523057894206,0.013888888888888904,complete,
cm1,continuous,500,200,1.0,10,10,0.28746031746031747,0.14063916054138753,0.0444740075524864,0.44000000000000006,0.08432740427115676,0.026666666666666658,0.3313682396035337,0.07632509273715683,0.024136113567299087,0.5317261904761905,0.15615236094357426,0.04937971225944142,0.8200000000000001,0.06324555320336757,0.019999999999999993,0.6303296703296702,0.10205303216724305,0.03227200237749177,complete,
cm1,continuous,500,200,10.0,10,10,0.31806637806637805,0.07025517090295127,0.022216635745771436,0.48,0.10327955589886442,0.03265986323710903,0.37914835164835164,0.0736103253547839,0.023277628742715915,0.49969169719169726,0.1284955867954429,0.04063387235534561,0.86,0.13498971154211056,0.04268749491621898,0.624279380749969,0.12112967193448344,0.03830456555419417,complete,
cm1,continuous,1000,50,1.0,10,10,0.93,0.11352924243950933,0.03590109871423002,0.6399999999999999,0.08432740427115681,0.026666666666666675,0.7522222222222221,0.06291937489061317,0.019896853360834528,1.0,0.0,0.0,0.74,0.13498971154211062,0.042687494916219,0.8444444444444444,0.0880360320296646,0.027839437737727627,complete,
cm1,continuous,1000,50,10.0,10,10,0.95,0.10540925533894598,0.03333333333333333,0.5799999999999998,0.06324555320336757,0.019999999999999993,0.7154761904761904,0.061334882000889046,0.019395792714047504,1.0,0.0,0.0,0.82,0.14757295747452437,0.04666666666666666,0.8944444444444445,0.091474733594285,0.028926850651506138,complete,
cm1,continuous,1000,200,1.0,10,10,0.34207042957042955,0.10880292563495467,0.03440650610963786,0.58,0.11352924243950933,0.03590109871423002,0.423513986013986,0.10107197036107603,0.031961763394203126,0.581388888888889,0.13323073470265845,0.042131257599803684,0.9400000000000001,0.09660917830792956,0.030550504633038923,0.7093706293706294,0.09722007844854817,0.030743688219766117,complete,
cm1,continuous,1000,200,10.0,10,10,0.31809523809523804,0.07504260988305221,0.02373055687939068,0.5,0.1414213562373095,0.044721359549995794,0.38409257409257413,0.0860552785575384,0.027213068492207063,0.6185101010101011,0.23102716512682928,0.07305720431726034,0.8600000000000001,0.13498971154211056,0.04268749491621898,0.690609243697479,0.13820602051805542,0.04370458111850193,complete,
