scenario,model_key,n,p,s2,repeat,seed,precision_raw_local,recall_raw_local,f1_raw_local,r_miss_raw_local,n_selected_raw_local,precision_raw_global_max,recall_raw_global_max,f1_raw_global_max,r_miss_raw_global_max,n_selected_raw_global_max,precision_raw_global_se,recall_raw_global_se,f1_raw_global_se,r_miss_raw_global_se,n_selected_raw_global_se,precision_logml_local,recall_logml_local,f1_logml_local,r_miss_logml_local,n_selected_logml_local,precision_logml_global_max,recall_logml_global_max,f1_logml_global_max,r_miss_logml_global_max,n_selected_logml_global_max,precision_logml_global_se,recall_logml_global_se,f1_logml_global_se,r_miss_logml_global_se,n_selected_logml_global_se,status,error
cm2,continuous,500,50,1.0,0,3376321988,0.2727272727272727,0.5,0.3529411764705882,1.0,11.0,1.0,0.16666666666666666,0.2857142857142857,1.0,1.0,0.75,0.5,0.6,1.0,4.0,1.0,0.8333333333333334,0.9090909090909091,1.0,5.0,1.0,0.5,0.6666666666666666,1.0,3.0,1.0,0.8333333333333334,0.9090909090909091,1.0,5.0,complete,
cm2,continuous,500,50,1.0,1,2172860758,0.3,0.5,0.37499999999999994,1.0,10.0,1.0,0.16666666666666666,0.2857142857142857,1.0,1.0,0.6,0.5,0.5454545454545454,1.0,5.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,1.0,6.0,1.0,0.16666666666666666,0.2857142857142857,1.0,1.0,1.0,0.8333333333333334,0.9090909090909091,1.0,5.0,complete,
cm2,continuous,500,50,1.0,2,3927704733,0.2727272727272727,0.5,0.3529411764705882,1.0,11.0,1.0,0.16666666666666666,0.2857142857142857,1.0,1.0,0.75,0.5,0.6,1.0,4.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,1.0,6.0,1.0,0.3333333333333333,0.5,1.0,2.0,1.0,0.6666666666666666,0.8,1.0,4.0,complete,
cm2,continuous,500,50,1.0,3,3552227883,0.3,0.5,0.37499999999999994,1.0,10.0,1.0,0.16666666666666666,0.2857142857142857,1.0,1.0,1.0,0.5,0.6666666666666666,1.0,3.0,1.0,0.6666666666666666,0.8,1.0,4.0,1.0,0.3333333333333333,0.5,1.0,2.0,1.0,0.6666666666666666,0.8,1.0,4.0,complete,
cm2,continuous,500,50,1.0,4,2374195213,0.2727272727272727,0.5,0.3529411764705882,1.0,11.0,1.0,0.16666666666666666,0.2857142857142857,1.0,1.0,0.6,0.5,0.5454545454545454,1.0,5.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,6.0,1.0,0.3333333333333333,0.5,1.0,2.0,0.75,0.5,0.6,1.0,4.0,complete,
cm2,continuous,500,50,1.0,5,1429282515,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,6.0,1.0,0.16666666666666666,0.2857142857142857,1.0,1.0,0.6666666666666666,0.3333333333333333,0.4444444444444444,1.0,3.0,1.0,0.5,0.6666666666666666,1.0,3.0,1.0,0.5,0.6666666666666666,1.0,3.0,1.0,0.5,0.6666666666666666,1.0,3.0,complete,
cm2,continuous,500,50,1.0,6,1686462608,0.21428571428571427,0.5,0.3,1.0,14.0,1.0,0.16666666666666666,0.2857142857142857,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,6.0,0.8,0.6666666666666666,0.7272727272727272,1.0,5.0,1.0,0.3333333333333333,0.5,1.0,2.0,0.8,0.6666666666666666,0.7272727272727272,1.0,5.0,complete,
cm2,continuous,500,50,1.0,7,2118560556,0.5,0.5,0.5,1.0,6.0,0.0,0.0,0.0,1.0,0.0,0.5,0.3333333333333333,0.4,1.0,4.0,0.7142857142857143,0.8333333333333334,0.7692307692307692,1.0,7.0,1.0,0.5,0.6666666666666666,1.0,3.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,1.0,6.0,complete,
cm2,continuous,500,50,1.0,8,1795439169,0.375,0.5,0.42857142857142855,1.0,8.0,1.0,0.3333333333333333,0.5,1.0,2.0,0.6666666666666666,0.3333333333333333,0.4444444444444444,1.0,3.0,0.75,0.5,0.6,1.0,4.0,1.0,0.3333333333333333,0.5,1.0,2.0,0.6666666666666666,0.3333333333333333,0.4444444444444444,1.0,3.0,complete,
cm2,continuous,500,50,1.0,9,1186343494,0.42857142857142855,0.5,0.4615384615384615,1.0,7.0,1.0,0.16666666666666666,0.2857142857142857,1.0,1.0,0.6,0.5,0.5454545454545454,1.0,5.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,1.0,6.0,1.0,0.5,0.6666666666666666,1.0,3.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,1.0,6.0,complete,
cm2,continuous,500,50,1.0,10,3465746139,0.2857142857142857,0.3333333333333333,0.30769230769230765,1.0,7.0,1.0,0.16666666666666666,0.2857142857142857,1.0,1.0,0.6666666666666666,0.3333333333333333,0.4444444444444444,1.0,3.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,6.0,1.0,0.5,0.6666666666666666,1.0,3.0,1.0,0.6666666666666666,0.8,1.0,4.0,complete,
cm2,continuous,500,50,1.0,11,1658120144,0.42857142857142855,0.5,0.4615384615384615,1.0,7.0,1.0,0.16666666666666666,0.2857142857142857,1.0,1.0,0.6,0.5,0.5454545454545454,1.0,5.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,1.0,6.0,1.0,0.5,0.6666666666666666,1.0,3.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,1.0,6.0,complete,
cm2,continuous,500,50,1.0,12,3862229416,0.2727272727272727,0.5,0.3529411764705882,1.0,11.0,1.0,0.16666666666666666,0.2857142857142857,1.0,1.0,1.0,0.5,0.6666666666666666,1.0,3.0,1.0,0.8333333333333334,0.9090909090909091,1.0,5.0,1.0,0.3333333333333333,0.5,1.0,2.0,1.0,0.8333333333333334,0.9090909090909091,1.0,5.0,complete,
cm2,continuous,500,50,1.0,13,3507919447,0.4,0.6666666666666666,0.5,1.0,10.0,1.0,0.16666666666666666,0.2857142857142857,1.0,1.0,0.6,0.5,0.5454545454545454,1.0,5.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,1.0,6.0,1.0,0.3333333333333333,0.5,1.0,2.0,1.0,0.5,0.6666666666666666,1.0,3.0,complete,
cm2,continuous,500,50,1.0,14,2477377467,0.42857142857142855,0.5,0.4615384615384615,1.0,7.0,1.0,0.16666666666666666,0.2857142857142857,1.0,1.0,0.75,0.5,0.6,1.0,4.0,0.625,0.8333333333333334,0.7142857142857143,1.0,8.0,1.0,0.5,0.6666666666666666,1.0,3.0,0.8,0.6666666666666666,0.7272727272727272,1.0,5.0,complete,
