scenario,model_key,n,p,s2,repeats_requested,repeats_successful,precision_raw_mean,precision_raw_std,precision_raw_se,recall_raw_mean,recall_raw_std,recall_raw_se,f1_raw_mean,f1_raw_std,f1_raw_se,precision_logl_mean,precision_logl_std,precision_logl_se,recall_logl_mean,recall_logl_std,recall_logl_se,f1_logl_mean,f1_logl_std,f1_logl_se,status,error
cm2,continuous,500,50,1.0,10,10,0.6057142857142856,0.18056977093874477,0.0571011752741314,0.4333333333333334,0.11653431646335018,0.03685138655950444,0.4930652680652681,0.12332778545825093,0.03899967008326656,0.9147619047619049,0.11389815238030095,0.03601775828066796,0.7166666666666668,0.11249142628509218,0.0355729124301825,0.7941958041958042,0.07737277216389987,0.024467418891919838,complete,
cm2,continuous,500,50,10.0,10,10,0.3952380952380952,0.1232537382841097,0.03897625431080802,0.26666666666666666,0.11653431646335018,0.03685138655950444,0.3111227661227661,0.11436700108212614,0.036166021258246035,0.6966666666666667,0.19064542746246416,0.06028737762778016,0.55,0.15811388300841897,0.049999999999999996,0.6112121212121211,0.16419688262463014,0.05192361337931574,complete,
cm2,continuous,1000,50,1.0,10,10,0.6566666666666667,0.14807405554629052,0.04682512779045662,0.5166666666666667,0.05270462766947298,0.016666666666666663,0.5715151515151515,0.06025487477109413,0.019054264440487426,0.9833333333333334,0.05270462766947298,0.016666666666666663,0.7666666666666667,0.08606629658238708,0.02721655269759088,0.8578787878787878,0.054889487436463144,0.017357579989842033,complete,
cm2,continuous,1000,50,10.0,10,10,0.5152380952380953,0.18450358312084167,0.05834515591240572,0.33333333333333337,0.13608276348795434,0.04303314829119352,0.3943045843045843,0.15101666049729973,0.047755661180384344,0.9016666666666666,0.1320423613284206,0.04175546094247456,0.6333333333333333,0.07027283689263064,0.022222222222222216,0.7387878787878788,0.07353368851483849,0.02325339404602539,complete,
