scenario,model_key,n,p,s2,repeats_requested,repeats_successful,precision_raw_mean,precision_raw_std,precision_raw_se,recall_raw_mean,recall_raw_std,recall_raw_se,f1_raw_mean,f1_raw_std,f1_raw_se,precision_logl_mean,precision_logl_std,precision_logl_se,recall_logl_mean,recall_logl_std,recall_logl_se,f1_logl_mean,f1_logl_std,f1_logl_se,status,error
cm1,continuous,500,50,1.0,100,100,0.9052857142857144,0.13587666547134236,0.013587666547134235,0.6039999999999999,0.08518547796758354,0.008518547796758353,0.7167251082251082,0.07897177053303332,0.007897177053303332,0.998,0.01999999999999999,0.001999999999999999,0.7999999999999998,0.1063632046956621,0.01063632046956621,0.8841111111111113,0.06730900798874165,0.0067309007988741645,complete,
cm1,continuous,500,50,10.0,100,100,0.8896666666666667,0.1516053267011918,0.015160532670119182,0.5579999999999999,0.10365053952312234,0.010365053952312233,0.675478354978355,0.09724868393981285,0.009724868393981286,0.998,0.01999999999999999,0.001999999999999999,0.8179999999999998,0.09031929892097122,0.009031929892097123,0.8963333333333335,0.055348773419492105,0.005534877341949211,complete,
cm1,continuous,500,200,1.0,100,100,0.3425930735930736,0.09118499112578056,0.009118499112578057,0.544,0.12087225078611306,0.012087225078611307,0.41501344243991306,0.09259200185738152,0.009259200185738153,0.6413104395604395,0.15218786822788424,0.015218786822788424,0.9059999999999999,0.10427237061047029,0.01042723706104703,0.7412947444712152,0.11751414779799815,0.011751414779799815,complete,
cm1,continuous,500,200,10.0,100,100,0.3201472138972139,0.10100930180396465,0.010100930180396466,0.502,0.12225160344737629,0.01222516034473763,0.3838143024845811,0.09697853701368746,0.009697853701368745,0.5471117077367077,0.11779689190979512,0.011779689190979511,0.9100000000000001,0.10396191999035419,0.01039619199903542,0.675165373755931,0.09974391977886075,0.009974391977886075,complete,
cm1,continuous,1000,50,1.0,100,100,0.9456666666666667,0.10351889497169883,0.010351889497169883,0.6339999999999999,0.08554046830110133,0.008554046830110133,0.7536536796536795,0.06798327393877157,0.006798327393877157,0.9963333333333333,0.025904512561400778,0.0025904512561400776,0.8440000000000001,0.10475560783909073,0.010475560783909073,0.9101464646464646,0.062000258641051846,0.006200025864105185,complete,
cm1,continuous,1000,50,10.0,100,100,0.946,0.10241527663824809,0.01024152766382481,0.616,0.06149648918286461,0.0061496489182864605,0.7422698412698412,0.05548973631450863,0.005548973631450863,0.998,0.019999999999999993,0.001999999999999999,0.8199999999999998,0.1044465935734187,0.01044465935734187,0.8966111111111112,0.06436299954312497,0.006436299954312497,complete,
cm1,continuous,1000,200,1.0,100,100,0.39315315240315235,0.1226634113650767,0.01226634113650767,0.6139999999999999,0.11808232019838681,0.011808232019838681,0.4703831526230907,0.10617254611280828,0.010617254611280828,0.740186147186147,0.15808797704937136,0.015808797704937136,0.9520000000000001,0.08584693919818555,0.008584693919818556,0.8229819624819623,0.10824882460127044,0.010824882460127045,complete,
cm1,continuous,1000,200,10.0,100,100,0.34578460428460434,0.11130378608941713,0.011130378608941713,0.5640000000000001,0.0958955660912411,0.00958955660912411,0.4207621948055385,0.09207160930609368,0.009207160930609368,0.688968253968254,0.13325074316257904,0.013325074316257905,0.9359999999999999,0.0979795897113271,0.00979795897113271,0.7855712196300432,0.09943572178748311,0.00994357217874831,complete,
