Parameter,Value,Δ Precision Raw,Δ Precision LogML,Δ Recall Raw,Δ Recall LogML,Δ F1 Raw,Δ F1 LogML,Δ Selected Raw,Δ Selected LogML,Jaccard Raw,Jaccard LogML,Δ TP Raw,Δ TP LogML,Δ FP Raw,Δ FP LogML
m,10,-0.01 (0.04),-0.07 (0.03),+0.04 (0.02),+0.01 (0.02),+0.04 (0.02),-0.03 (0.02),+0.20 (0.31),+0.82 (0.24),0.77 (0.02),0.50 (0.02),+0.22 (0.13),+0.04 (0.15),-0.02 (0.27),+0.78 (0.21)
m,50,+0.09 (0.04),+0.07 (0.03),+0.05 (0.02),-0.04 (0.02),+0.07 (0.02),-0.00 (0.02),-0.26 (0.33),-0.82 (0.23),0.71 (0.03),0.46 (0.03),+0.30 (0.12),-0.24 (0.10),-0.56 (0.28),-0.58 (0.21)
β,1,+0.02 (0.05),-0.01 (0.03),+0.00 (0.02),-0.08 (0.02),+0.01 (0.02),-0.06 (0.02),-0.46 (0.29),-0.62 (0.24),0.74 (0.02),0.51 (0.02),+0.00 (0.11),-0.48 (0.10),-0.46 (0.28),-0.14 (0.24)
β,3,+0.04 (0.05),-0.03 (0.02),+0.06 (0.02),+0.00 (0.02),+0.06 (0.03),-0.01 (0.02),+0.24 (0.33),+0.32 (0.25),0.75 (0.02),0.45 (0.03),+0.36 (0.15),+0.00 (0.11),-0.12 (0.27),+0.32 (0.21)
k,1,+0.07 (0.05),+0.01 (0.03),+0.05 (0.02),-0.04 (0.02),+0.07 (0.02),-0.02 (0.02),-0.16 (0.28),-0.36 (0.24),0.71 (0.03),0.48 (0.02),+0.32 (0.12),-0.22 (0.12),-0.48 (0.25),-0.14 (0.20)
k,3,+0.03 (0.05),-0.02 (0.03),+0.03 (0.02),-0.03 (0.02),+0.04 (0.03),-0.03 (0.02),-0.10 (0.32),-0.16 (0.25),0.73 (0.03),0.45 (0.03),+0.20 (0.14),-0.20 (0.12),-0.30 (0.30),+0.04 (0.21)
