n,p,s2,Method,Mean selected Raw,Mean selected LogML,Exact Raw,Exact LogML,Under Raw,Under LogML,Over Raw,Over LogML,Mean excess Raw,Mean excess LogML
500,50,1,Global SE,4.78,4.22,52%,31%,33%,69%,15%,0%,0.16,0.00
500,50,1,Local,6.35,4.53,21%,55%,1%,45%,78%,0%,1.36,0.00
500,50,1,Global Max,3.88,3.02,24%,0%,75%,100%,1%,0%,0.01,0.00
500,200,1,Global SE,8.71,7.90,8%,6%,1%,1%,91%,93%,3.72,2.91
500,200,1,Local,24.08,12.34,0%,0%,0%,0%,100%,100%,19.08,7.34
500,200,1,Global Max,1.33,3.76,0%,2%,100%,98%,0%,0%,0.00,0.00
