n,p,s2,Method,Mean selected Raw,Mean selected LogML,Exact Raw,Exact LogML,Under Raw,Under LogML,Over Raw,Over LogML,Mean excess Raw,Mean excess LogML
500,50,1,Global SE,1.90,3.06,5%,19%,92%,67%,3%,14%,0.03,0.16
500,50,1,Local,6.04,6.00,17%,13%,4%,4%,79%,83%,2.10,2.06
500,50,1,Global Max,0.07,0.15,0%,0%,100%,100%,0%,0%,0.00,0.00
500,200,1,Global SE,6.60,12.63,7%,0%,10%,0%,83%,100%,2.72,8.63
500,200,1,Local,22.96,22.58,0%,0%,0%,0%,100%,100%,18.96,18.58
500,200,1,Global Max,0.14,0.16,0%,0%,100%,100%,0%,0%,0.00,0.00
