n,p,s2,Precision Raw,Precision LogML,Recall Raw,Recall LogML,F1 Raw,F1 LogML,r_miss Raw,r_miss LogML
500,50,1,0.929 (0.01),1.000 (0.00),0.594 (0.01),0.808 (0.01),0.718 (0.01),0.891 (0.01),100%,88%
500,50,10,0.887 (0.01),1.000 (0.00),0.562 (0.01),0.786 (0.01),0.680 (0.01),0.877 (0.01),100%,95%
500,200,1,0.359 (0.01),0.603 (0.01),0.512 (0.01),0.904 (0.01),0.412 (0.01),0.713 (0.01),100%,46%
500,200,10,0.299 (0.01),0.547 (0.01),0.454 (0.01),0.880 (0.01),0.352 (0.01),0.666 (0.01),100%,60%
1000,50,1,0.944 (0.01),1.000 (0.00),0.618 (0.01),0.818 (0.01),0.743 (0.01),0.897 (0.01),100%,84%
1000,50,10,0.933 (0.01),0.998 (0.00),0.600 (0.01),0.804 (0.01),0.725 (0.01),0.886 (0.01),100%,83%
1000,200,1,0.378 (0.01),0.713 (0.01),0.596 (0.01),0.950 (0.01),0.454 (0.01),0.807 (0.01),100%,24%
1000,200,10,0.372 (0.01),0.668 (0.01),0.562 (0.01),0.946 (0.01),0.439 (0.01),0.773 (0.01),100%,26%
