n,p,s2,Precision Raw,Precision LogML,Recall Raw,Recall LogML,F1 Raw,F1 LogML,r_miss Raw,r_miss LogML
500,50,1,0.200 (0.03),0.327 (0.03),0.113 (0.02),0.240 (0.02),0.138 (0.02),0.267 (0.02),100%,100%
500,200,1,0.040 (0.01),0.068 (0.01),0.075 (0.01),0.212 (0.02),0.051 (0.01),0.102 (0.01),100%,100%
