n,p,s2,Precision Raw,Precision LogML,Recall Raw,Recall LogML,F1 Raw,F1 LogML,r_miss Raw,r_miss LogML
500,50,1.0,0.040 (0.01),0.088 (0.02),0.020 (0.01),0.055 (0.01),0.026 (0.01),0.066 (0.01),100%,100%
1000,50,1.0,0.047 (0.02),0.094 (0.02),0.018 (0.01),0.055 (0.01),0.024 (0.01),0.067 (0.01),100%,100%
