n,p,s2,Method,Mean Raw,Mean LogML,Exact Raw,Exact LogML,Under Raw,Under LogML,Over Raw,Over LogML,Mean Excess Raw,Mean Excess LogML
500,50,1.0,Local,10.16,10.43,4%,5%,4%,1%,92%,94%,4.22,4.44
500,50,1.0,Global SE,2.28,3.27,1%,2%,99%,96%,0%,2%,0.00,0.05
500,50,1.0,Global Max,0.07,0.11,0%,0%,100%,100%,0%,0%,0.00,0.00
1000,50,1.0,Local,9.59,9.77,4%,5%,7%,2%,89%,93%,3.67,3.79
1000,50,1.0,Global SE,2.25,3.58,2%,7%,98%,90%,0%,3%,0.00,0.03
1000,50,1.0,Global Max,0.12,0.10,0%,0%,100%,100%,0%,0%,0.00,0.00
