Parameter,Value,|Δ Precision| Raw,|Δ Precision| LogML,|Δ Recall| Raw,|Δ Recall| LogML,|Δ F1| Raw,|Δ F1| LogML,|Δ Selected| Raw,|Δ Selected| LogML,Jaccard Raw,Jaccard LogML,|Δ TP| Raw,|Δ TP| LogML,|Δ FP| Raw,|Δ FP| LogML
m,10,0.11 (0.02),0.02 (0.01),0.17 (0.02),0.08 (0.01),0.13 (0.01),0.05 (0.01),1.00 (0.13),0.42 (0.08),0.33 (0.03),0.10 (0.02),0.84 (0.11),0.38 (0.07),0.52 (0.08),0.08 (0.04)
m,50,0.06 (0.01),0.00 (0.00),0.10 (0.02),0.11 (0.01),0.08 (0.01),0.06 (0.01),0.68 (0.10),0.56 (0.07),0.16 (0.02),0.11 (0.01),0.52 (0.09),0.56 (0.07),0.32 (0.08),0.00 (0.00)
β,1,0.07 (0.01),0.00 (0.00),0.10 (0.02),0.08 (0.01),0.08 (0.01),0.05 (0.01),0.72 (0.10),0.40 (0.07),0.19 (0.02),0.09 (0.02),0.52 (0.08),0.40 (0.07),0.40 (0.08),0.00 (0.00)
β,3,0.08 (0.01),0.00 (0.00),0.13 (0.02),0.06 (0.01),0.09 (0.01),0.03 (0.01),1.06 (0.11),0.30 (0.07),0.24 (0.02),0.07 (0.02),0.66 (0.10),0.30 (0.07),0.44 (0.08),0.00 (0.00)
k,1,0.06 (0.01),0.00 (0.00),0.09 (0.02),0.06 (0.01),0.07 (0.01),0.04 (0.01),0.74 (0.11),0.30 (0.07),0.17 (0.02),0.07 (0.02),0.44 (0.09),0.30 (0.07),0.34 (0.07),0.00 (0.00)
k,3,0.08 (0.01),0.00 (0.00),0.08 (0.01),0.06 (0.01),0.07 (0.01),0.03 (0.01),0.68 (0.10),0.30 (0.07),0.18 (0.02),0.07 (0.02),0.38 (0.07),0.30 (0.07),0.46 (0.09),0.00 (0.00)
