n,p,s2,Precision Raw,Precision LogML,Recall Raw,Recall LogML,F1 Raw,F1 LogML,r_miss Raw,r_miss LogML
500,50,1,0.659 (0.02),0.925 (0.01),0.447 (0.01),0.678 (0.01),0.523 (0.01),0.774 (0.01),100%,100%
500,50,10,0.478 (0.03),0.615 (0.02),0.260 (0.01),0.503 (0.02),0.322 (0.01),0.542 (0.02),100%,100%
1000,50,1,0.767 (0.02),0.983 (0.01),0.508 (0.01),0.743 (0.01),0.601 (0.01),0.841 (0.01),100%,100%
1000,50,10,0.614 (0.02),0.810 (0.02),0.350 (0.01),0.598 (0.01),0.434 (0.01),0.678 (0.01),100%,100%
