n,p,s2,Precision Raw,Precision LogML,Recall Raw,Recall LogML,F1 Raw,F1 LogML,r_miss Raw,r_miss LogML
500,50,1,0.951 (0.01),1.000 (0.00),0.904 (0.01),0.844 (0.01),0.921 (0.01),0.911 (0.01),40%,69%
500,200,1,0.434 (0.01),0.642 (0.02),0.718 (0.02),0.966 (0.01),0.531 (0.01),0.762 (0.01),88%,17%
