Parameter,Value,Precision Raw,Precision LogML,Recall Raw,Recall LogML,F1 Raw,F1 LogML,r_miss Raw,r_miss LogML,Selected Raw,Selected LogML
m,10,0.45 (0.03),0.52 (0.02),0.28 (0.02),0.52 (0.03),0.33 (0.02),0.51 (0.02),100%,98%,3.88 (0.24),6.08 (0.21)
m,20,0.46 (0.04),0.60 (0.03),0.24 (0.02),0.51 (0.03),0.30 (0.02),0.54 (0.02),100%,100%,3.68 (0.25),5.26 (0.21)
m,50,0.55 (0.03),0.67 (0.03),0.29 (0.02),0.47 (0.02),0.36 (0.02),0.54 (0.02),100%,100%,3.42 (0.21),4.44 (0.18)
β,1,0.48 (0.03),0.59 (0.03),0.24 (0.01),0.43 (0.02),0.31 (0.02),0.48 (0.02),100%,100%,3.22 (0.16),4.64 (0.23)
β,2,0.46 (0.04),0.60 (0.03),0.24 (0.02),0.51 (0.03),0.30 (0.02),0.54 (0.02),100%,100%,3.68 (0.25),5.26 (0.21)
β,3,0.50 (0.03),0.56 (0.03),0.30 (0.02),0.51 (0.03),0.36 (0.02),0.53 (0.02),100%,100%,3.92 (0.22),5.58 (0.22)
k,1,0.53 (0.03),0.61 (0.03),0.29 (0.02),0.48 (0.02),0.37 (0.02),0.52 (0.02),100%,100%,3.52 (0.18),4.90 (0.20)
k,2,0.46 (0.04),0.60 (0.03),0.24 (0.02),0.51 (0.03),0.30 (0.02),0.54 (0.02),100%,100%,3.68 (0.25),5.26 (0.21)
k,3,0.49 (0.04),0.58 (0.03),0.27 (0.02),0.48 (0.02),0.34 (0.02),0.51 (0.02),100%,100%,3.58 (0.21),5.10 (0.20)
